 SOUID,    DATE,   HU, Q_HU
175112,19790101,   82,    0
175112,19790102,   75,    0
175112,19790103,   80,    0
175112,19790104,   80,    0
175112,19790105,   75,    0
175112,19790106,   87,    0
175112,19790107,   91,    0
175112,19790108,   87,    0
175112,19790109,   93,    0
175112,19790110,   93,    0
175112,19790111,   87,    0
175112,19790112,   93,    0
175112,19790113,   98,    0
175112,19790114,   98,    0
175112,19790115,   91,    0
175112,19790116,   91,    0
175112,19790117,   87,    0
175112,19790118,   84,    0
175112,19790119,   85,    0
175112,19790120,   90,    0
175112,19790121,   88,    0
175112,19790122,   89,    0
175112,19790123,   89,    0
175112,19790124,   88,    0
175112,19790125,   91,    0
175112,19790126,   85,    0
175112,19790127,   87,    0
175112,19790128,   90,    0
175112,19790129,   91,    0
175112,19790130,   85,    0
175112,19790131,   81,    0
175112,19790201,   90,    0
175112,19790202,   96,    0
175112,19790203,   90,    0
175112,19790204,   95,    0
175112,19790205,   88,    0
175112,19790206,   86,    0
175112,19790207,   84,    0
175112,19790208,   88,    0
175112,19790209,   90,    0
175112,19790210,   85,    0
175112,19790211,   79,    0
175112,19790212,   87,    0
175112,19790213,   86,    0
175112,19790214,   81,    0
175112,19790215,   80,    0
175112,19790216,   76,    0
175112,19790217,   73,    0
175112,19790218,   75,    0
175112,19790219,   91,    0
175112,19790220,   80,    0
175112,19790221,   75,    0
175112,19790222,   86,    0
175112,19790223,   70,    0
175112,19790224,   75,    0
175112,19790225,   93,    0
175112,19790226,   86,    0
175112,19790227,   93,    0
175112,19790228,   88,    0
175112,19790301,   88,    0
175112,19790302,   83,    0
175112,19790303,   92,    0
175112,19790304,   97,    0
175112,19790305,   84,    0
175112,19790306,   82,    0
175112,19790307,   60,    0
175112,19790308,   86,    0
175112,19790309,   87,    0
175112,19790310,   83,    0
175112,19790311,   81,    0
175112,19790312,   91,    0
175112,19790313,   92,    0
175112,19790314,   94,    0
175112,19790315,   85,    0
175112,19790316,   78,    0
175112,19790317,   76,    0
175112,19790318,   65,    0
175112,19790319,   60,    0
175112,19790320,   64,    0
175112,19790321,   75,    0
175112,19790322,   83,    0
175112,19790323,   77,    0
175112,19790324,   83,    0
175112,19790325,   81,    0
175112,19790326,   79,    0
175112,19790327,   66,    0
175112,19790328,   69,    0
175112,19790329,   78,    0
175112,19790330,   80,    0
175112,19790331,   91,    0
175112,19790401,   96,    0
175112,19790402,   89,    0
175112,19790403,   87,    0
175112,19790404,   92,    0
175112,19790405,   82,    0
175112,19790406,   82,    0
175112,19790407,   76,    0
175112,19790408,   72,    0
175112,19790409,   76,    0
175112,19790410,   72,    0
175112,19790411,   56,    0
175112,19790412,   63,    0
175112,19790413,   58,    0
175112,19790414,   87,    0
175112,19790415,   76,    0
175112,19790416,   52,    0
175112,19790417,   46,    0
175112,19790418,   61,    0
175112,19790419,   57,    0
175112,19790420,   67,    0
175112,19790421,   57,    0
175112,19790422,   63,    0
175112,19790423,   66,    0
175112,19790424,   87,    0
175112,19790425,   95,    0
175112,19790426,   81,    0
175112,19790427,   86,    0
175112,19790428,   78,    0
175112,19790429,   76,    0
175112,19790430,   60,    0
175112,19790501,   72,    0
175112,19790502,   70,    0
175112,19790503,   89,    0
175112,19790504,   94,    0
175112,19790505,   73,    0
175112,19790506,   58,    0
175112,19790507,   86,    0
175112,19790508,   64,    0
175112,19790509,   58,    0
175112,19790510,   81,    0
175112,19790511,   92,    0
175112,19790512,   62,    0
175112,19790513,   54,    0
175112,19790514,   69,    0
175112,19790515,   72,    0
175112,19790516,   69,    0
175112,19790517,   57,    0
175112,19790518,   52,    0
175112,19790519,   86,    0
175112,19790520,   67,    0
175112,19790521,   51,    0
175112,19790522,   42,    0
175112,19790523,   58,    0
175112,19790524,   77,    0
175112,19790525,   51,    0
175112,19790526,   67,    0
175112,19790527,   63,    0
175112,19790528,   75,    0
175112,19790529,   73,    0
175112,19790530,   68,    0
175112,19790531,   62,    0
175112,19790601,   67,    0
175112,19790602,   61,    0
175112,19790603,   50,    0
175112,19790604,   51,    0
175112,19790605,   55,    0
175112,19790606,   55,    0
175112,19790607,   55,    0
175112,19790608,   55,    0
175112,19790609,   66,    0
175112,19790610,   65,    0
175112,19790611,   65,    0
175112,19790612,   63,    0
175112,19790613,   56,    0
175112,19790614,   84,    0
175112,19790615,   90,    0
175112,19790616,   75,    0
175112,19790617,   79,    0
175112,19790618,   67,    0
175112,19790619,   63,    0
175112,19790620,   60,    0
175112,19790621,   62,    0
175112,19790622,   63,    0
175112,19790623,   65,    0
175112,19790624,   65,    0
175112,19790625,   64,    0
175112,19790626,   63,    0
175112,19790627,   66,    0
175112,19790628,   71,    0
175112,19790629,   78,    0
175112,19790630,   91,    0
175112,19790701,   80,    0
175112,19790702,   82,    0
175112,19790703,   83,    0
175112,19790704,   81,    0
175112,19790705,   82,    0
175112,19790706,   81,    0
175112,19790707,   86,    0
175112,19790708,   75,    0
175112,19790709,   80,    0
175112,19790710,   89,    0
175112,19790711,   85,    0
175112,19790712,   86,    0
175112,19790713,   96,    0
175112,19790714,   97,    0
175112,19790715,   84,    0
175112,19790716,   89,    0
175112,19790717,   91,    0
175112,19790718,   75,    0
175112,19790719,   89,    0
175112,19790720,   91,    0
175112,19790721,   82,    0
175112,19790722,   80,    0
175112,19790723,   81,    0
175112,19790724,   87,    0
175112,19790725,   84,    0
175112,19790726,   87,    0
175112,19790727,   86,    0
175112,19790728,   95,    0
175112,19790729,   88,    0
175112,19790730,   82,    0
175112,19790731,   82,    0
175112,19790801,   93,    0
175112,19790802,   79,    0
175112,19790803,   73,    0
175112,19790804,   85,    0
175112,19790805,   81,    0
175112,19790806,   76,    0
175112,19790807,   70,    0
175112,19790808,   81,    0
175112,19790809,   79,    0
175112,19790810,   89,    0
175112,19790811,   72,    0
175112,19790812,   83,    0
175112,19790813,   79,    0
175112,19790814,   75,    0
175112,19790815,   77,    0
175112,19790816,   79,    0
175112,19790817,   83,    0
175112,19790818,   77,    0
175112,19790819,   80,    0
175112,19790820,   91,    0
175112,19790821,   99,    0
175112,19790822,   85,    0
175112,19790823,   84,    0
175112,19790824,   89,    0
175112,19790825,   95,    0
175112,19790826,   95,    0
175112,19790827,   80,    0
175112,19790828,   79,    0
175112,19790829,   86,    0
175112,19790830,   89,    0
175112,19790831,   86,    0
175112,19790901,   77,    0
175112,19790902,   96,    0
175112,19790903,   88,    0
175112,19790904,   91,    0
175112,19790905,   94,    0
175112,19790906,   93,    0
175112,19790907,   91,    0
175112,19790908,   83,    0
175112,19790909,   84,    0
175112,19790910,   85,    0
175112,19790911,   95,    0
175112,19790912,   79,    0
175112,19790913,   77,    0
175112,19790914,   74,    0
175112,19790915,   89,    0
175112,19790916,   84,    0
175112,19790917,   93,    0
175112,19790918,   98,    0
175112,19790919,   84,    0
175112,19790920,   78,    0
175112,19790921,   93,    0
175112,19790922,   89,    0
175112,19790923,   84,    0
175112,19790924,   83,    0
175112,19790925,   81,    0
175112,19790926,   89,    0
175112,19790927,   94,    0
175112,19790928,   69,    0
175112,19790929,   95,    0
175112,19790930,   86,    0
175112,19791001,   82,    0
175112,19791002,   79,    0
175112,19791003,   74,    0
